id,date,value,f500,seg,f125,lMin,f1000,f8000,f4000,soundExpLVL,ram,lPeak,hora,f63,memo,timeStamp,f31,f2000,lMax,min,global,cpu,temp,f250
"PeuFx05JhS9PaZwH36X0","2021-08-31T13:11:01.000Z",72.09,63.57,47,55.75,55.38,64.67,59.79,66.27,74.17,80.7,103.52,10,50.02,19.29,1630415461,45.62,66.06,84.36,10,72.09,7.5,54.77,60.96
"GJmHmfol8lLK3VCU0EMJ","2021-08-31T13:09:00.000Z",73.57,65.05,46,56.7,59.45,66.5,60.16,67.17,75.65,80.7,103.52,10,50.33,19.3,1630415340,46.74,68.03,84.36,8,73.57,7.4,55.84,62.73
"dXlSX2ysU6FklV0DY5II","2021-08-31T13:07:00.000Z",75.22,67.35,46,61.87,60.43,67.43,56.95,68.14,77.3,80.7,95.45,10,52.3,19.32,1630415220,45.98,69.32,79.97,6,75.22,7.3,54.77,66.97
"6OqSZHY9nm8utLtml7go","2021-08-31T13:05:00.000Z",74.39,66.5,46,61.65,63.36,66.1,56.48,67.6,76.47,80.7,95.45,10,52.3,19.31,1630415100,45.83,68.3,79.97,4,74.39,7,54.77,66.34
"wB5iv95JfhYxwCc9sJ1E","2021-08-31T13:03:01.000Z",71.26,63.22,47,56.09,60.25,64.58,52.44,63.65,73.34,80.7,95.47,10,50.53,19.29,1630414981,45.32,65.94,76.38,2,71.26,7.4,54.77,61.51
"vXiTQatnTD6pZuRfA81H","2021-08-31T13:01:00.000Z",75.76,67.96,46,54.75,58.57,67.44,55.4,69.33,77.83,80.7,97.23,10,47.89,19.3,1630414860,42.61,71.67,84.22,"",75.76,7.6,55.31,62.62
"iRcykdZC0QNsvTScSNNN","2021-08-31T12:59:00.000Z",76.09,67.91,46,53.34,59.48,68.35,56.09,69.89,78.17,80.7,97.23,9,47.13,19.29,1630414740,42.06,72.02,84.22,58,76.09,7,55.31,61.13
"9Jw6aFHGizzLegVctIJ3","2021-08-31T12:57:00.000Z",72.37,63.5,46,55.83,62.26,66.45,54.36,65.46,74.45,80.7,90.56,9,48.3,19.29,1630414620,42.97,67.15,80.46,56,72.37,7.6,54.77,60.63
"z9O51FJHszfyiPcuX11S","2021-08-31T12:55:01.000Z",72.61,64.21,47,56.59,60.69,65.78,54.66,65.5,74.69,80.7,93.68,9,49.83,19.32,1630414501,44.95,67.72,81.26,54,72.61,7.2,54.77,61.67
"vHF9tsloEVISoGYXKwCS","2021-08-31T12:53:00.000Z",71.94,63.36,47,53.91,59.65,65.58,52.67,64.52,74.02,80.7,93.68,9,48.73,19.31,1630414380,43.49,67.35,81.26,52,71.94,7,54.77,60.23
"TvIl08nxQrl34uq7YGfO","2021-08-31T12:51:00.000Z",69.27,61.1,46,56.81,53.81,64.03,48.23,59.27,71.34,80.7,84.77,9,47.58,19.31,1630414260,42.54,63.69,72.92,50,69.27,7.1,54.77,59.13
"tygsYzJEbTH7KO5K6GqI","2021-08-31T12:49:00.000Z",69.77,61.93,46,57.16,55.02,64.39,49.93,60.49,71.85,80.7,100.88,9,49.59,19.28,1630414140,45.66,63.72,72.92,48,69.77,6.9,54.77,59.82
"2FQgtx1xh1rsWZaKanuZ","2021-08-31T12:47:00.000Z",70.59,63.06,46,53.23,57.92,65.16,51.68,62.57,72.67,80.7,100.88,9,48.68,19.33,1630414020,44.48,64.77,72.08,46,70.59,7.4,54.77,59.55
"IG5juwgprCpKexhvGm3I","2021-08-31T12:45:01.000Z",71.71,64.02,47,53.35,60.89,66.06,53.54,64.12,73.79,80.6,99.03,9,47.54,19.43,1630413901,43.09,66.12,74.4,44,71.71,7.3,54.23,60.27
"I96kRiZwGYnnzlpA27A7","2021-08-31T12:43:00.000Z",72.03,64.26,47,54.18,57.01,66.27,53.6,64.19,74.11,80.7,91.47,9,48.72,19.31,1630413780,45.1,66.72,74.4,42,72.03,7.1,53.69,60.53
"VVJYSAAC9VHduxGglrbm","2021-08-31T12:41:00.000Z",71.59,63.7,46,54.14,60.42,65.41,55.25,63.69,73.67,80.7,98.96,9,49.24,19.34,1630413660,45.67,66.46,77.46,40,71.59,7.1,54.77,60.42
"4WRUtoP3eJSvMFjWVMlv","2021-08-31T12:39:00.000Z",70.95,63.33,46,53.58,59.15,64.93,54.69,62.8,73.03,80.7,98.96,9,48.53,19.31,1630413540,44.31,65.58,77.46,38,70.95,7.4,54.23,60.14
"dNhBv2Nt38LBTH5qmjUO","2021-08-31T12:37:00.000Z",70.23,63.06,46,53.59,54.62,64.48,51.64,62.12,72.3,80.6,91.05,9,48.54,19.36,1630413420,43.44,64.23,72.95,36,70.23,7.4,53.69,59.84
"L4QbHs89bIMgm7O1Q1PP","2021-08-31T12:35:01.000Z",70.87,63.31,47,54.28,58.58,65.31,51.58,62.63,72.95,80.6,91.05,9,49.3,19.38,1630413301,44.14,65.09,72.95,34,70.87,7.1,54.23,60.38
"4G585p6dvyTcx6E2nStZ","2021-08-31T12:33:00.000Z",71.45,63.51,46,54.08,59.28,66.01,55.09,63.11,73.53,80.7,96.31,9,48.5,19.3,1630413180,42.86,65.85,77.43,32,71.45,7,54.23,60.71
"Ad9l0fwDkmTX73e2k0Bv","2021-08-31T12:31:00.000Z",72.27,64.12,46,53.95,54.38,66.37,57.33,65.33,74.35,80.7,98.13,9,47.91,19.32,1630413060,41.16,66.42,80.03,30,72.27,7.2,54.23,61.06
"1li2eY8cAwO552PdwAwk","2021-08-31T12:29:00.000Z",71.98,64.04,46,54.51,60.47,66.16,55.07,64.75,74.06,80.6,98.13,9,48.08,19.36,1630412940,41.37,66.22,80.03,28,71.98,7.2,53.69,60.98
"pcKm5MfLpdWmHfKyUiaI","2021-08-31T12:27:01.000Z",71.29,63.82,47,54.83,56.43,65.92,50.55,62.39,73.37,80.6,91.24,9,47.86,19.36,1630412821,42.79,65.72,73.58,26,71.29,7.4,54.23,60.73
"kxLk4rN67fw2cTBquvur","2021-08-31T12:25:00.000Z",71.02,63.6,47,54.95,57.56,65.48,50.93,62.18,73.1,80.7,91.24,9,47.95,19.32,1630412700,41.94,65.48,73.58,24,71.02,7.6,54.23,60.58
"VNtlim88BUqKgE82q8jo","2021-08-31T12:23:00.000Z",72.92,65.18,46,56.44,54.93,66.87,56.59,64.79,75,80.6,97.48,9,50.76,19.35,1630412580,41.81,67.14,79.31,22,72.92,7.5,53.69,63.47
"VZHLJjIK1ZhPuXzytvG0","2021-08-31T12:21:00.000Z",72.85,65.04,46,55.37,57.07,67.22,56.22,64.52,74.93,80.7,97.48,9,49.79,19.35,1630412460,42.17,67.02,79.31,20,72.85,7.4,53.69,63.21
"zQX6LeiQ5Sqx4cXr7oXw","2021-08-31T12:19:00.000Z",70.4,62.78,46,52.69,60.19,65.56,48.18,60.79,72.48,80.6,87.76,9,45.93,19.37,1630412340,40.4,64.75,73.35,18,70.4,7.4,53.69,59.92
"3QcMtabt6ZgjXmdXUR5x","2021-08-31T12:17:01.000Z",71.94,64.53,47,58.05,53.12,66.2,50.53,62.63,74.01,80.6,89.2,9,48.54,19.37,1630412221,40.72,66.13,75.63,16,71.94,7.2,53.69,62.65
"r9XmYofieWYMG4NgYhKr","2021-08-31T12:15:00.000Z",72.39,65.01,46,58.1,60.13,66.62,51.99,63.41,74.47,80.6,91.21,9,48.41,19.39,1630412100,42.86,66.44,75.63,14,72.39,7.2,53.69,63.21
"0Pbl8Til03LGd0UO8Lve","2021-08-31T12:13:00.000Z",71.11,63.38,46,53.83,56.72,65.47,51.76,62.94,73.19,80.6,91.21,9,47.29,19.42,1630411980,42.4,65.55,74.8,12,71.11,7.2,52.62,60.8
"CaWWR8NIHw0OGs8q3lFC","2021-08-31T12:11:00.000Z",71.68,62.91,46,54.28,55.82,66.27,56.14,64.42,73.76,80.6,98.68,9,49.89,19.36,1630411860,42.52,66.09,81.65,10,71.68,7.1,53.69,59.64
"k4pZFpAfvWJ0aMe5exxO","2021-08-31T12:09:01.000Z",73.35,64.6,47,57.63,60.44,67.92,56.89,65.76,75.43,80.6,98.68,9,51.27,19.36,1630411741,45.1,67.61,81.65,8,73.35,7.2,52.62,62.48
"bTfmAaSq8LffGgXgdAcJ","2021-08-31T12:07:00.000Z",73.04,64.74,46,57.42,62.13,67.54,53.55,64.89,75.12,80.6,90.59,9,49.49,19.41,1630411620,44.29,67.52,74.53,6,73.04,7.4,53.15,62.66
"dxz2GEB0yoChhOTxBx1B","2021-08-31T12:05:01.000Z",74.81,63.38,47,53.18,55.92,68.39,55.89,66.82,76.89,80.6,112.63,9,47.34,19.39,1630411501,40.94,71.66,90.6,4,74.81,7.2,52.62,60.29
"eg2PjdTJ6cqY2aHTuJdU","2021-08-31T12:03:00.000Z",74.81,63.43,46,57.82,52.3,67.99,55.8,67.08,76.89,80.6,112.63,9,48.29,19.41,1630411380,39.8,71.58,90.6,2,74.81,6.9,53.15,60.9
"RSMD3rjqc1UewsXqOo0F","2021-08-31T12:01:00.000Z",71.41,63.19,46,58.95,56.86,65.03,53.33,64.09,73.49,80.6,94.59,9,50.31,19.38,1630411260,43.67,65.43,76.49,"",71.41,7.4,52.62,61.44
"OIMfKI4GXoRcBzHjSz9J","2021-08-31T11:59:01.000Z",70.88,62.58,47,55.68,53.76,64.88,53.76,63.16,72.96,80.7,98.89,8,50.95,19.27,1630411141,44.36,65.35,74.29,58,70.88,7.4,52.62,60.47
"1dkma5AApTDcnw5KftKs","2021-08-31T11:57:00.000Z",71.14,63.53,47,53.27,55.71,65.36,52.11,62.79,73.22,80.6,98.89,8,49.51,19.43,1630411020,42.76,65.78,74.08,56,71.14,7.1,52.62,60.63
"YJzvOGThMJeeEdV649ul","2021-08-31T11:55:00.000Z",72.4,64.88,46,55.09,56.23,66.42,52.51,64.01,74.48,80.6,90.64,8,50.98,19.4,1630410900,42.94,67.01,76.66,54,72.4,7.5,52.62,62.41
